Year,Title,Bib,DOI
1977,Spliced segments at the 5′ terminus of adenovirus 2 late mRNA,PNAS 1977 74:3171,10.1073/pnas.74.8.3171
1952,A Social Equilibrium Existence Theorem,PNAS 1952 38:886,10.1073/pnas.38.10.886
1980,Detection and isolation of type C retrovirus particles from fresh and cultured lymphocytes of a patient with cutaneous T-cell lymphoma,PNAS 1980 77:7415,10.1073/pnas.77.12.7415
1970,Differences between the Ribonucleic Acids of Transforming and Nontransforming Avian Tumor Viruses,PNAS 1970 67:1673,10.1073/pnas.67.4.1673
2001,A default mode of brain function,PNAS 2001 98:676,10.1073/pnas.98.2.676
1953,Stochastic games,PNAS 1953 39:1095,10.1073/pnas.39.10.1095
1936,The Magnetic Properties and Structure of the Hemochromogens and Related Substances,PNAS 1936 22:159,10.1073/pnas.22.3.159
1936,"The Magnetic Properties and Structure of Hemoglobin, Oxyhemoglobin and Carbonmonoxyhemoglobin",PNAS 1936 22:210,10.1073/pnas.22.4.210
1920,Analytical Note on Certain Rhythmic Relations in Organic Systems,PNAS 1920 6:410,10.1073/pnas.6.7.410
1980,Transforming gene product of Rous sarcoma virus phosphorylates tyrosine,PNAS 1980 77:1311,10.1073/pnas.77.3.1311
1929,A relation between distance and radial velocity among extra-galactic nebulae,PNAS 1929 15:168,10.1073/pnas.15.3.168
1932,Proof of the Quasi-Ergodic Hypothesis,PNAS 1932 18:70,10.1073/pnas.18.1.70
1931,Proof of the Ergodic Theorem,PNAS 1931 17:656,10.1073/pnas.17.2.656
1934,On Super-Novae,PNAS 1934 20:254,10.1073/pnas.20.5.254
1934,Cosmic Rays from Super-Novae,PNAS 1934 20:259,10.1073/pnas.20.5.259
1977,Phylogenetic structure of the prokaryotic domain: The primary kingdoms,PNAS 1977 74:5088,10.1073/pnas.74.11.5088
1962,Some functional effects of sectioning the cerebral commissures in man,PNAS 1962 48:1765,10.1073/pnas.48.10.1765
1979,Secretion and cell-surface growth are blocked in a temperature-sensitive mutant of Saccharomyces cerevisiae,PNAS 1979 76:1862,10.1073/pnas.76.4.1858
1961,The dependence of cell-free protein synthesis in E. coli upon naturally occurring or synthetic polyribonucleotides,PNAS 1961 47:1588,10.1073/pnas.47.10.1588
1974,Familial hypercholesterolemia: Defective binding of lipoproteins to cultured fibroblasts associated with impaired regulation of 3-hydroxy-3-methylglutaryl coenzyme a reductase activity,PNAS 1974 71:788,10.1073/pnas.71.3.788
1960,Destruction of the sympathetic ganglia in mammals by an antiserum to a nerve-growth protein,PNAS 1960 46:384,10.1073/pnas.46.3.384
1950,The origin and behavior of mutable loci in maize,PNAS 1950 36:344,10.1073/pnas.36.6.344
1972,"Dopamine-sensitive adenylate cyclase in caudate nucleus of rat brain, and its similarity to the ""dopamine receptor""",PNAS 1972 69:2145,10.1073/pnas.69.8.2145
1951,On the Green's functions of quantized fields I,PNAS 1951 37:452,10.1073/pnas.37.7.452
1951,On the Green's functions of quantized fields II,PNAS 1951 37:455,10.1073/pnas.37.7.455
1971,Specific Cleavage of Simian Virus 40 DNA by Restriction Endonuclease of Hemophilus Influenzae,PNAS 1971 68:2913,10.1073/pnas.68.12.2913
1958,The replication of DNA in Escherichia Coli,PNAS 1958 44:671,10.1073/pnas.44.7.671
1950,Equilibrium points in n-person games,PNAS 1950 1:48,10.1073/pnas.36.1.48
1952,Transplantation of living nuclei from blastula cells into enucleated frogs' eggs,PNAS 1952 38:455,10.1073/pnas.38.5.455
1951,The structure of proteins: Two hydrogen-bonded helical configurations of the polypeptide chain,PNAS 1951 37:205,10.1073/pnas.37.4.205
