Year,Title,Bib,DOI
1993,Lattice Boltzmann model for simulating flows with multiple phases and components,"Phys. Rev. E 47, 1815 (1993)",10.1103/PhysRevE.47.1815
1993,Electrostatic oscillations in the presence of grain-charge perturbations in dusty plasmas,"Phys. Rev. E 47, 3612 (1993)",10.1103/PhysRevE.47.3612
1993,Extended self-similarity in turbulent flows,"Phys. Rev. E 48, R29(R) (1993)",10.1103/PhysRevE.48.R29
1994,Chaos and quantum thermalization,"Phys. Rev. E 50, 888 (1994)",10.1103/PhysRevE.50.888
1995,Generalized synchronization of chaos in directionally coupled chaotic systems,"Phys. Rev. E 51, 980 (1995)",10.1103/PhysRevE.51.980
1995,Dynamical model of traffic congestion and numerical simulation,"Phys. Rev. E 51, 1035 (1995) ",10.1103/PhysRevE.51.1035
1995,Phase behavior of a model colloid-polymer mixture,"Phys. Rev. E 51, 1344 (1995)",10.1103/PhysRevE.51.1344
1995,Social force model for pedestrian dynamics,"Phys. Rev. E 51, 4282 (1995)",10.1103/PhysRevE.51.4282
1996,"Avalanche dynamics in evolution, growth, and depinning models","Phys. Rev. E 53, 414 (1996)",10.1103/PhysRevE.53.414
1997,Equilibrium free-energy differences from nonequilibrium measurements: A master-equation approach,"Phys. Rev. E 56, 5018 (1997)",10.1103/PhysRevE.56.5018
1997,Solitary waves in a chain of beads under Hertz contact,"Phys. Rev. E 56, 6104 (1997)",10.1103/PhysRevE.56.6104
1998,Quantitative phase-field modeling of dendritic growth in two and three dimensions,"Phys. Rev. E 57, 4323 (1998)",10.1103/PhysRevE.57.4323
1998,Dynamics of viscoplastic deformation in amorphous solids,"Phys. Rev. E 57, 7192 (1998) ",10.1103/PhysRevE.57.7192
1998,"Flocks, herds, and schools: A quantitative theory of flocking","Phys. Rev. E 58, 4828 (1998)",10.1103/PhysRevE.58.4828
1999,Nonergodicity transitions in colloidal suspensions with attractive interactions,"Phys. Rev. E 59, 5706 (1999)",10.1103/PhysRevE.59.5706
1999,Entropy production fluctuation theorem and the nonequilibrium work relation for free energy differences,"Phys. Rev. E 60, 2721 (1999) ",10.1103/PhysRevE.60.2721
2000,Contact line deposits in an evaporating drop,"Phys. Rev. E 62, 756 (2000)",10.1103/PhysRevE.62.756
2000,Electromagnetic contributions to single-molecule sensitivity in surface-enhanced Raman scattering,"Phys. Rev. E 62, 4318 (2000)",10.1103/PhysRevE.62.4318
2001,Random graphs with arbitrary degree distributions and their applications,"Phys. Rev. E 64, 026118 (2001)",10.1103/PhysRevE.64.026118
2001,Granular flow down an inclined plane: Bagnold scaling and rheology,"Phys. Rev. E 64, 051302 (2001)",10.1103/PhysRevE.64.051302
2001,Determining the density of states for classical statistical models: A random walk algorithm to produce a flat histogram,"Phys. Rev. E 64, 056101 (2001)",10.1103/PhysRevE.64.056101
2004,Structural vulnerability of the North American power grid,"Phys. Rev. E 69, 025103(R) (2004)",10.1103/PhysRevE.69.025103
2004,Estimating mutual information,"Phys. Rev. E 69, 066138 (2004)",10.1103/PhysRevE.69.066138
